time_ms,status,altitude_m,speed_ms,accel_ms2
47744,4,1034,194,-3.1
47764,4,1039,194,4.4
47784,4,1044,194,1.9
47804,4,1046,194,-2.1
47824,4,1050,194,2.9
47844,4,1053,194,-2.4
47864,4,1057,194,0.5
47884,4,1062,194,1.8
47904,4,1064,194,-0.6
47924,4,1069,193,2.5
47944,4,1071,193,3.8
47964,4,1076,193,3.8
47984,4,1080,193,1
48004,4,1082,193,2.2
48024,4,1087,192,-3.2
48044,4,1089,192,-0.8
48064,4,1094,192,-3.2
48084,4,1099,192,-0.6
48104,4,1101,192,0.5
48124,4,1105,192,-1.2
48144,4,1110,191,-1.1
48164,4,1112,191,1.4
48184,4,1117,191,-3.3
48204,4,1119,191,-5.1
48224,4,1124,191,-1.7
48244,4,1128,190,-3.8
48264,4,1130,190,-1.4
48284,4,1135,190,-2.3
48304,4,1137,190,-1.5
48324,4,1142,190,0.6
48344,4,1147,189,0.5
48364,4,1149,189,-1.1
48384,4,1153,189,1.6
48404,4,1156,189,-1.8
48424,4,1160,189,-1.5
48444,4,1165,188,0.2
48464,4,1167,188,1.7
48484,4,1171,188,-4.9
48504,4,1174,188,-1.4
48524,4,1178,188,-1.2
48544,4,1183,187,2.7
48564,4,1185,187,-0.8
48584,4,1190,187,-0.1
48604,4,1194,187,0
48624,4,1196,187,-0.8
48644,4,1201,186,0.3
48664,4,1203,186,0.2
48684,4,1208,186,0.9
48704,4,1212,186,-2.1
48724,4,1214,186,0.5
48744,4,1219,185,-1.9
48764,4,1221,185,-2.8
48784,4,1225,185,1.8
48804,4,1229,185,-1.5
48824,4,1232,185,-0.2
48844,4,1236,184,0.3
48864,4,1239,184,2.1
48884,4,1243,184,-1.5
48904,4,1248,184,-1.1
48924,4,1251,184,0.4
48944,4,1255,183,-1.4
48964,4,1259,183,-1.7
48984,4,1261,183,-2.2
49004,4,1266,183,-0.7
49024,4,1268,183,-1.8
49044,4,1273,182,-2.1
49064,4,1278,182,-2.5
49084,4,1280,182,-0.9
49104,4,1284,182,-0.1
49124,4,1287,182,0.5
49144,4,1291,181,-1.2
49164,4,1296,181,-3.1
49184,4,1298,181,1.7
49204,4,1302,181,0.9
49224,4,1304,181,-0.4
49244,4,1309,181,-2
49264,4,1314,180,1.1
49284,4,1316,180,1.1
49304,4,1320,180,-4.9
49324,4,1323,180,-2.4
49344,4,1327,180,-0.8
49364,4,1332,179,0.4
49384,4,1334,179,-1
49404,4,1339,179,-2.4
49424,4,1343,179,-5
49444,4,1346,179,2.9
49464,4,1350,178,-4.1
49484,4,1352,178,1.8
49504,4,1357,178,-3
49524,4,1361,178,-4.1
49544,4,1363,178,-3.7
49564,4,1368,177,-0.8
49584,4,1370,177,-4.2
49604,4,1375,177,-2.1
49624,4,1379,177,-4.4
49644,4,1381,177,-1.2
49664,4,1386,176,-2.3
49684,4,1388,176,-3.5
49704,4,1393,176,-6.4
49724,4,1397,176,-3.4
49744,4,1399,176,-4.4
49764,4,1404,175,-5.7
49784,4,1406,175,-5.1
49804,4,1410,175,-8.2
49824,4,1414,175,-2.5
49844,4,1417,175,-5.5
49864,4,1421,174,-4.9
49884,4,1426,174,-3.2
49904,4,1428,174,-4.7
49924,4,1432,174,-7.5
49944,4,1434,174,-6.8
49964,4,1439,173,-4.6
49984,4,1443,173,-4.6
50004,4,1445,173,-4.1
50024,4,1450,173,-4.9
50044,4,1452,173,-7
50064,4,1456,172,-3.8
50084,4,1461,172,-6.2
50104,4,1463,172,-3.6
50124,4,1467,172,-5.7
50144,4,1469,172,-5.1
50164,4,1474,171,-3
50184,4,1478,171,-2.2
50204,4,1480,171,-4.8
50224,4,1485,171,-5.3
50244,4,1489,171,-4.1
50264,4,1491,171,-3.6
50284,4,1495,170,-3
50304,4,1498,170,-6.7
50324,4,1502,170,-3.2
50344,4,1506,170,-2.5
50364,4,1508,170,-4.2
50384,4,1512,169,-4.2
50404,4,1514,169,-1.4
50424,4,1518,169,-4.7
50444,4,1522,169,-4.8
50464,4,1524,169,-8.8
50484,4,1528,168,-4.5
50504,4,1530,168,-6
50524,4,1535,168,-6
50544,4,1540,168,-6.6
50564,4,1542,168,-3.1
50584,4,1546,167,-3.7
50604,4,1548,167,-4.3
50624,4,1553,167,-4.2
50644,4,1557,167,-2.5
50664,4,1560,167,-3.7
50684,4,1564,166,-5.8
50704,4,1567,166,-10.1
50724,4,1569,166,-4.8
50744,4,1574,166,-3
50764,4,1576,166,-3.9
50784,4,1580,165,-4.8
50804,4,1584,165,-3.7
50824,4,1586,165,-7.9
